[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	square
1.981334	-2.609168e-009	6.417305	1.26739e-006	0.0011257841711447
2.005798	2.28e-009	6.500299	1.341402e-006	0.0011581891037305
2.030263	-2.609168e-009	6.583751	1.414049e-006	0.001189137923035
2.054727	-1.386837e-009	6.667006	1.45261e-006	0.0012052427141452
2.079192	-1.386837e-009	6.750202	1.531864e-006	0.0012376849356763
2.103657	-3.8315e-009	6.833636	1.601813e-006	0.0012656275123432
2.128121	-1.386837e-009	6.916893	1.650355e-006	0.0012846614339973
2.152586	-1.386837e-009	7.000254	1.704701e-006	0.0013056419876827
2.17705	-1.645049e-010	7.083333	1.766004e-006	0.0013289108322231
2.201514	-1.386837e-009	7.166319	1.848104e-006	0.0013594498887418
2.201514	-2.609168e-009	7.251162	1.947981e-006	0.0013957008991901
2.250443	-1.386837e-009	7.334022	1.987366e-006	0.0014097396922837
2.274908	-2.609168e-009	7.415696	2.054162e-006	0.0014332348028149
2.299372	-2.609168e-009	7.500462	2.109481e-006	0.0014524052464791
2.299372	-1.386837e-009	7.582411	2.220422e-006	0.0014901080497736
2.323837	-1.386837e-009	7.66678	2.292893e-006	0.0015142301674448
2.348302	-1.386837e-009	7.74996	2.403609e-006	0.0015503577006614
2.372766	-2.609168e-009	7.832865	2.442318e-006	0.0015627917327654
2.397231	1.057748e-009	7.917103	2.524199e-006	0.0015887727968467
2.421695	-1.386837e-009	7.999369	2.592943e-006	0.00161026177996
2.44616	-3.8315e-009	8.083621	2.683724e-006	0.0016382075570574
2.470624	1.057748e-009	8.166697	2.780036e-006	0.0016673439957009
2.495089	-1.645049e-010	8.250687	2.894068e-006	0.0017011960498426
2.519553	-1.386837e-009	8.333769	2.939659e-006	0.0017145433794454
2.544018	-3.8315e-009	8.417051	3.031781e-006	0.0017412010222832
2.568482	-1.645049e-010	8.500166	3.132657e-006	0.0017699313546011
2.592947	-1.386837e-009	8.584936	3.189523e-006	0.0017859235705931
2.617411	-2.609168e-009	8.666837	3.288059e-006	0.0018133005818121
2.641876	1.057748e-009	8.750109	3.44872e-006	0.0018570729657178
2.66634	-1.386837e-009	8.833499	3.484157e-006	0.0018665896710311
2.690805	-1.386837e-009	8.915501	3.623932e-006	0.0019036627852642
2.715269	-3.8315e-009	8.999952	3.697202e-006	0.0019228109631474
2.739734	1.057748e-009	9.084784	3.759004e-006	0.0019388151020662
2.764198	-1.386837e-009	9.167703	3.874805e-006	0.0019684524378303
2.788663	-2.609168e-009	9.251002	3.978777e-006	0.0019946871935218
2.813127	1.057748e-009	9.335855	4.069097e-006	0.0020172002875272
2.837592	-1.386837e-009	9.416444	4.174991e-006	0.0020432794718295
2.862056	-1.386837e-009	9.500401	4.296409e-006	0.0020727780874951
2.886521	-2.609168e-009	9.584563	4.36366e-006	0.0020889375289845
2.910985	1.057748e-009	9.665878	4.498016e-006	0.0021208526587201
2.93545	-1.386837e-009	9.75042	4.610762e-006	0.0021472684974171
2.959914	-2.609168e-009	9.834085	4.764148e-006	0.0021826928322602
2.984379	2.28e-009	9.916993	4.790352e-006	0.0021886872777992
3.008843	-1.386837e-009	9.999937	4.93208e-006	0.0022208286741665

